W=0	S=0.39303278921532364
W=0.1	S=0.38428340311756887
W=0.2	S=0.3614883751704649
W=0.3	S=0.3345412052172928
W=0.4	S=0.30272429838761844
W=0.5	S=0.27941341474249687
W=0.6	S=0.25908366746262246
W=0.7	S=0.23318637443373333
W=0.8	S=0.19569167709883273
W=0.9	S=0.17717716243738085
W=1.0	S=0.15862682743486636
W=1.1	S=0.1377514434959659
W=1.2	S=0.1074182923013198
W=1.3	S=0.11615078953151776
W=1.4	S=0.10256978127295863
W=1.5	S=0.09050545500216325
