W=0.3379930993724584	C=0
W=0.335017379052869	C=0.1
W=0.3262179536451083	C=0.2
W=0.31112646159159657	C=0.3
W=0.27979961352760024	C=0.4
W=0.25280241533430575	C=0.5
W=0.22732555627315065	C=0.6
W=0.1978175127108313	C=0.7
W=0.15966219171578788	C=0.8
W=0.13949778784376798	C=0.9
W=0.12108958191030753	C=1.0
W=0.10195238313514281	C=1.1
W=0.07672702010113412	C=1.2
W=0.08104692491468349	C=1.3
W=0.06934688379447639	C=1.4
W=0.05997058720568215	C=1.5
