W=0	L=3.046322867275734
W=0.1	L=3.1523903984159096
W=0.2	L=3.505064074909817
W=0.3	L=4.0895041151747
W=0.4	L=4.746880680839394
W=0.5	L=5.338305568003469
W=0.6	L=5.952595332362755
W=0.7	L=6.800268655037539
W=0.8	L=8.336444147284594
W=0.9	L=9.43112502102393
W=1.0	L=10.82590797945813
W=1.1	L=12.65719092227149
W=1.2	L=16.564664839829202
W=1.3	L=15.668735603508306
W=1.4	L=18.167748411101677
W=1.5	L=21.046594904508908
